organic_data1_rdkit_Chi1v,organic_data1_rdkit_MinAbsEStateIndex,organic_data1_rdkit_MinEStateIndex,organic_data1_rdkit_NumValenceElectrons,organic_data1_rdkit_SlogP_VSA2,organic_data1_rdkit_qed,organic_data2_rdkit_BalabanJ,organic_data2_rdkit_Chi2n,organic_data2_rdkit_FpDensityMorgan1,organic_data2_rdkit_MinAbsPartialCharge,organic_data2_rdkit_MolLogP,organic_data2_rdkit_VSA_EState7,organic_data3_rdkit_Chi0,organic_data3_rdkit_MaxEStateIndex,organic_data3_rdkit_MinEStateIndex,Time,ratioA,ratioC,ratioD,output
2.580464759,0.139722222,0.139722222,42,5.106527395,0.572343612,1.974744871,0.447213595,1,0.06622664,-1.029,0,5.112884175,2.083333333,1.321759259,200,0.72,0.02,0.01,1
2.580464759,0.139722222,0.139722222,42,5.106527395,0.572343612,1.974744871,0.447213595,1,0.06622664,-1.029,0,5.112884175,2.083333333,1.321759259,50,0.72,0.02,0.01,1
2.580464759,0.139722222,0.139722222,42,5.106527395,0.572343612,1.974744871,0.447213595,1,0.06622664,-1.029,0,5.112884175,2.083333333,1.321759259,100,0.72,0.02,0.01,1
2.580464759,0.139722222,0.139722222,42,5.106527395,0.572343612,1.974744871,0.447213595,1,0.06622664,-1.029,0,5.112884175,2.083333333,1.321759259,150,0.72,0.02,0.01,1
2.410683603,1.321759259,1.321759259,36,0,0.45880628,2.832085835,1.643712443,1.125,0.06813694,1.1789,0,5.276020882,10.5,0.291666667,200,0.6,0.1,0.1,0
2.410683603,1.321759259,1.321759259,36,0,0.45880628,2.832085835,1.643712443,1.125,0.06813694,1.1789,0,5.276020882,10.5,0.291666667,150,0.6,0.1,0.1,0
2.410683603,1.321759259,1.321759259,36,0,0.45880628,2.832085835,1.643712443,1.125,0.06813694,1.1789,0,5.276020882,10.5,0.291666667,100,0.6,0.1,0.1,0
2.410683603,1.321759259,1.321759259,36,0,0.45880628,2.832085835,1.643712443,1.125,0.06813694,1.1789,0,5.276020882,10.5,0.291666667,50,0.6,0.1,0.1,0
1.132455532,0.125,-0.125,26,23.42681872,0.407527891,2.190609687,1.142228525,1.6,0.007737643,0.7452,2.385416667,5.276020882,10.5,0.291666667,200,0.72,0.02,0.01,0
1.132455532,0.125,-0.125,26,23.42681872,0.407527891,2.190609687,1.142228525,1.6,0.007737643,0.7452,2.385416667,5.276020882,10.5,0.291666667,50,0.72,0.02,0.01,0
1.132455532,0.125,-0.125,26,23.42681872,0.407527891,2.190609687,1.142228525,1.6,0.007737643,0.7452,2.385416667,5.276020882,10.5,0.291666667,100,0.72,0.02,0.01,0
1.132455532,0.125,-0.125,26,23.42681872,0.407527891,2.190609687,1.142228525,1.6,0.007737643,0.7452,2.385416667,5.276020882,10.5,0.291666667,150,0.72,0.02,0.01,0
2.410683603,1.321759259,1.321759259,36,0,0.45880628,2.478438739,1.918847178,1.714285714,0.221873564,0.2386,1.811342593,2,7,1,200,0.72,0.02,0.01,1
2.410683603,1.321759259,1.321759259,36,0,0.45880628,2.478438739,1.918847178,1.714285714,0.221873564,0.2386,1.811342593,2,7,1,50,0.72,0.02,0.01,1
2.410683603,1.321759259,1.321759259,36,0,0.45880628,2.478438739,1.918847178,1.714285714,0.221873564,0.2386,1.811342593,2,7,1,100,0.72,0.02,0.01,1
2.410683603,1.321759259,1.321759259,36,0,0.45880628,2.478438739,1.918847178,1.714285714,0.221873564,0.2386,1.811342593,2,7,1,150,0.72,0.02,0.01,1
2.410683603,1.321759259,1.321759259,36,0,0.45880628,2.832085835,1.643712443,1.125,0.06813694,1.1789,0,2,7,1,50,0.6,0.1,0.1,0
2.410683603,1.321759259,1.321759259,36,0,0.45880628,2.832085835,1.643712443,1.125,0.06813694,1.1789,0,2,7,1,100,0.6,0.1,0.1,0
2.544725695,0.291666667,0.291666667,40,24.39951785,0.425686211,2.530060457,2.414213562,0.625,0.053316205,3.3668,8.488202948,3.577350269,9,-0.833333333,200,0.72,0.02,0.01,1
2.544725695,0.291666667,0.291666667,40,24.39951785,0.425686211,2.530060457,2.414213562,0.625,0.053316205,3.3668,8.488202948,3.577350269,9,-0.833333333,50,0.72,0.02,0.01,1
2.544725695,0.291666667,0.291666667,40,24.39951785,0.425686211,2.530060457,2.414213562,0.625,0.053316205,3.3668,8.488202948,3.577350269,9,-0.833333333,100,0.72,0.02,0.01,1
2.544725695,0.291666667,0.291666667,40,24.39951785,0.425686211,2.530060457,2.414213562,0.625,0.053316205,3.3668,8.488202948,3.577350269,9,-0.833333333,150,0.72,0.02,0.01,1
0.723606798,1.430555556,1.430555556,16,0,0.38698058,2.339092315,1.707106781,0.833333333,0.053578702,2.5866,5.536388889,4.121320344,5.139027778,0.84375,200,0.72,0.02,0.01,0
0.723606798,1.430555556,1.430555556,16,0,0.38698058,2.339092315,1.707106781,0.833333333,0.053578702,2.5866,5.536388889,4.121320344,5.139027778,0.84375,50,0.72,0.02,0.01,1
0.723606798,1.430555556,1.430555556,16,0,0.38698058,2.339092315,1.707106781,0.833333333,0.053578702,2.5866,5.536388889,4.121320344,5.139027778,0.84375,100,0.72,0.02,0.01,1
0.723606798,1.430555556,1.430555556,16,0,0.38698058,2.339092315,1.707106781,0.833333333,0.053578702,2.5866,5.536388889,4.121320344,5.139027778,0.84375,150,0.72,0.02,0.01,0
1.822158134,0.092592593,0.092592593,36,24.90243343,0.409906883,1,0,1.5,0.031940684,-0.3915,0,4.991563832,9.821527778,-0.210648148,200,0.72,0.02,0.01,0
1.822158134,0.092592593,0.092592593,36,24.90243343,0.409906883,1,0,1.5,0.031940684,-0.3915,0,4.991563832,9.821527778,-0.210648148,50,0.72,0.02,0.01,0
1.822158134,0.092592593,0.092592593,36,24.90243343,0.409906883,1,0,1.5,0.031940684,-0.3915,0,4.991563832,9.821527778,-0.210648148,100,0.72,0.02,0.01,0
1.822158134,0.092592593,0.092592593,36,24.90243343,0.409906883,1,0,1.5,0.031940684,-0.3915,0,4.991563832,9.821527778,-0.210648148,150,0.72,0.02,0.01,0
2.410683603,1.321759259,1.321759259,36,0,0.45880628,2.478438739,1.918847178,1.714285714,0.221873564,0.2386,1.811342593,4.405777394,10.02083333,-0.046296296,50,0.6,0.1,0.1,1
2.410683603,1.321759259,1.321759259,36,0,0.45880628,2.478438739,1.918847178,1.714285714,0.221873564,0.2386,1.811342593,4.405777394,10.02083333,-0.046296296,100,0.6,0.1,0.1,1
2.410683603,1.321759259,1.321759259,36,0,0.45880628,2.832085835,1.643712443,1.125,0.06813694,1.1789,0,4.405777394,10.02083333,-0.046296296,50,0.6,0.1,0.1,1
2.410683603,1.321759259,1.321759259,36,0,0.45880628,2.832085835,1.643712443,1.125,0.06813694,1.1789,0,4.405777394,10.02083333,-0.046296296,100,0.6,0.1,0.1,0
2.410683603,1.321759259,1.321759259,36,0,0.45880628,2.832085835,1.643712443,1.125,0.06813694,1.1789,0,4.405777394,10.02083333,-0.046296296,150,0.6,0.1,0.1,0
2.410683603,1.321759259,1.321759259,36,0,0.45880628,2.832085835,1.643712443,1.125,0.06813694,1.1789,0,4.405777394,10.02083333,-0.046296296,200,0.6,0.1,0.1,0
2.410683603,1.321759259,1.321759259,36,0,0.45880628,2.323790008,1.093748049,1.5,0.048347612,0.3871,-0.166666667,4.405777394,10.02083333,-0.046296296,50,0.6,0.1,0.1,0
2.410683603,1.321759259,1.321759259,36,0,0.45880628,2.323790008,1.093748049,1.5,0.048347612,0.3871,-0.166666667,4.405777394,10.02083333,-0.046296296,100,0.6,0.1,0.1,0
2.410683603,1.321759259,1.321759259,36,0,0.45880628,2.323790008,1.093748049,1.5,0.048347612,0.3871,-0.166666667,4.405777394,10.02083333,-0.046296296,150,0.6,0.1,0.1,0
2.410683603,1.321759259,1.321759259,36,0,0.45880628,2.323790008,1.093748049,1.5,0.048347612,0.3871,-0.166666667,4.405777394,10.02083333,-0.046296296,200,0.6,0.1,0.1,0
2.914213562,1.355,1.355,38,0,0.462954281,2.323790008,1.093748049,1.5,0.048347612,0.3871,-0.166666667,4.405777394,10.02083333,-0.046296296,200,0.72,0.02,0.01,1
2.914213562,1.355,1.355,38,0,0.462954281,2.323790008,1.093748049,1.5,0.048347612,0.3871,-0.166666667,4.405777394,10.02083333,-0.046296296,50,0.72,0.02,0.01,1
2.914213562,1.355,1.355,38,0,0.462954281,2.323790008,1.093748049,1.5,0.048347612,0.3871,-0.166666667,4.405777394,10.02083333,-0.046296296,100,0.72,0.02,0.01,1
2.914213562,1.355,1.355,38,0,0.462954281,2.323790008,1.093748049,1.5,0.048347612,0.3871,-0.166666667,4.405777394,10.02083333,-0.046296296,150,0.72,0.02,0.01,1
1.412899428,0.166666667,-0.166666667,26,11.21049378,0.428404794,2.367351851,1.324023571,1.666666667,0.305409841,0.3234,1.540509259,4.28445705,8.111111111,-0.560185185,200,0.72,0.02,0.01,1
1.023334547,0.25,0.25,20,11.71340936,0.406807966,2.367351851,1.324023571,1.666666667,0.305409841,0.3234,1.540509259,4.28445705,8.111111111,-0.560185185,50,0.72,0.02,0.01,1
1.023334547,0.25,0.25,20,11.71340936,0.406807966,2.367351851,1.324023571,1.666666667,0.305409841,0.3234,1.540509259,4.28445705,8.111111111,-0.560185185,100,0.72,0.02,0.01,1
1.023334547,0.25,0.25,20,11.71340936,0.406807966,2.367351851,1.324023571,1.666666667,0.305409841,0.3234,1.540509259,4.28445705,8.111111111,-0.560185185,150,0.72,0.02,0.01,1
0.723606798,1.430555556,1.430555556,16,0,0.38698058,3.02146531,1.654700538,1,0.039774526,1.99502,0,4.828427125,2.231805556,1.355,200,0.6,0.1,0.1,0
0.447213595,1,1,14,12.21632494,0.385284404,2.803039488,0.90824829,1.5,0.126267944,0.5953,0,4.828427125,2.231805556,1.355,200,0.72,0.02,0.01,0
0.447213595,1,1,14,12.21632494,0.385284404,2.803039488,0.90824829,1.5,0.126267944,0.5953,0,4.828427125,2.231805556,1.355,50,0.72,0.02,0.01,0
0.447213595,1,1,14,12.21632494,0.385284404,2.803039488,0.90824829,1.5,0.126267944,0.5953,0,4.828427125,2.231805556,1.355,100,0.72,0.02,0.01,0
0.447213595,1,1,14,12.21632494,0.385284404,2.803039488,0.90824829,1.5,0.126267944,0.5953,0,4.828427125,2.231805556,1.355,150,0.72,0.02,0.01,0
2.050476816,0.046296296,-0.046296296,34,12.57618725,0.396777661,2.478438739,1.918847178,1.714285714,0.221873564,0.2386,1.811342593,6.242640687,2.255898526,1.364795918,200,0.6,0.1,0.1,0
2.050476816,0.046296296,-0.046296296,34,12.57618725,0.396777661,2.478438739,1.918847178,1.714285714,0.221873564,0.2386,1.811342593,6.242640687,2.255898526,1.364795918,50,0.6,0.1,0.1,1
2.050476816,0.046296296,-0.046296296,34,12.57618725,0.396777661,2.478438739,1.918847178,1.714285714,0.221873564,0.2386,1.811342593,6.242640687,2.255898526,1.364795918,100,0.6,0.1,0.1,0
2.050476816,0.046296296,-0.046296296,34,12.57618725,0.396777661,2.478438739,1.918847178,1.714285714,0.221873564,0.2386,1.811342593,6.242640687,2.255898526,1.364795918,150,0.6,0.1,0.1,0
1.204124145,0.166666667,0.166666667,24,5.783244946,0.398236962,2.803039488,0.519018036,2,0.299684553,0.0909,0,6.242640687,2.255898526,1.364795918,200,0.72,0.02,0.01,1
1.204124145,0.166666667,0.166666667,24,5.783244946,0.398236962,2.803039488,0.519018036,2,0.299684553,0.0909,0,6.242640687,2.255898526,1.364795918,50,0.72,0.02,0.01,1
1.204124145,0.166666667,0.166666667,24,5.783244946,0.398236962,2.803039488,0.519018036,2,0.299684553,0.0909,0,6.242640687,2.255898526,1.364795918,100,0.72,0.02,0.01,1
1.204124145,0.166666667,0.166666667,24,5.783244946,0.398236962,2.803039488,0.519018036,2,0.299684553,0.0909,0,6.242640687,2.255898526,1.364795918,150,0.72,0.02,0.01,1
1.560025215,0.138888889,-0.560185185,32,22.92390314,0.435834997,2.339092315,1.707106781,0.833333333,0.053578702,2.5866,5.536388889,6.242640687,2.255898526,1.364795918,200,0.6,0.1,0.1,0
1.560025215,0.138888889,-0.560185185,32,22.92390314,0.435834997,2.339092315,1.707106781,0.833333333,0.053578702,2.5866,5.536388889,6.242640687,2.255898526,1.364795918,50,0.6,0.1,0.1,1
1.560025215,0.138888889,-0.560185185,32,22.92390314,0.435834997,2.339092315,1.707106781,0.833333333,0.053578702,2.5866,5.536388889,6.242640687,2.255898526,1.364795918,100,0.6,0.1,0.1,0
1.560025215,0.138888889,-0.560185185,32,22.92390314,0.435834997,2.339092315,1.707106781,0.833333333,0.053578702,2.5866,5.536388889,6.242640687,2.255898526,1.364795918,130,0.6,0.1,0.1,0
1.904030206,0.210648148,-0.210648148,36,12.57618725,0.437850878,1,0,1.5,0.031940684,-0.3915,0,3.577350269,8.055555556,-0.166666667,200,0.6,0.1,0.1,0
1.904030206,0.210648148,-0.210648148,36,12.57618725,0.437850878,1,0,1.5,0.031940684,-0.3915,0,3.577350269,8.055555556,-0.166666667,50,0.6,0.1,0.1,0
1.904030206,0.210648148,-0.210648148,36,12.57618725,0.437850878,1,0,1.5,0.031940684,-0.3915,0,3.577350269,8.055555556,-0.166666667,100,0.6,0.1,0.1,0
1.904030206,0.210648148,-0.210648148,36,12.57618725,0.437850878,1,0,1.5,0.031940684,-0.3915,0,3.577350269,8.055555556,-0.166666667,150,0.6,0.1,0.1,0
3.914213562,1.364795918,1.364795918,50,0,0.480610605,2.475534206,0.223606798,2,0.058714824,0.52988,0,3.577350269,8.055555556,-0.166666667,200,0.72,0.02,0.01,1
3.914213562,1.364795918,1.364795918,50,0,0.480610605,2.475534206,0.223606798,2,0.058714824,0.52988,0,3.577350269,8.055555556,-0.166666667,50,0.72,0.02,0.01,1
3.914213562,1.364795918,1.364795918,50,0,0.480610605,2.475534206,0.223606798,2,0.058714824,0.52988,0,3.577350269,8.055555556,-0.166666667,100,0.72,0.02,0.01,1
3.914213562,1.364795918,1.364795918,50,0,0.480610605,2.475534206,0.223606798,2,0.058714824,0.52988,0,3.577350269,8.055555556,-0.166666667,150,0.72,0.02,0.01,1
2.961243688,0.605709877,0.605709877,42,0,0.528586339,2.539538861,1.031595552,1.8,0.074238644,-0.6405,-0.560185185,2.707106781,7.569444444,0.25,50,0.72,0.02,0.01,1
2.961243688,0.605709877,0.605709877,42,0,0.528586339,2.539538861,1.031595552,1.8,0.074238644,-0.6405,-0.560185185,2.707106781,7.569444444,0.25,100,0.72,0.02,0.01,1
2.961243688,0.605709877,0.605709877,42,0,0.528586339,2.539538861,1.031595552,1.8,0.074238644,-0.6405,-0.560185185,2.707106781,7.569444444,0.25,150,0.72,0.02,0.01,1
2.961243688,0.605709877,0.605709877,42,0,0.528586339,2.539538861,1.031595552,1.8,0.074238644,-0.6405,-0.560185185,2.707106781,7.569444444,0.25,200,0.72,0.02,0.01,1
2.580464759,0.139722222,0.139722222,42,5.106527395,0.572343612,2.803039488,0.519018036,2,0.299684553,0.0909,0,5.983127663,5.576728395,0.605709877,200,0.6,0.1,0.1,0
2.050476816,0.046296296,-0.046296296,34,12.57618725,0.396777661,3.257586161,1.413445227,1.5,0.218425131,0.0945,0,5.983127663,5.576728395,0.605709877,200,0.72,0.02,0.01,0
2.050476816,0.046296296,-0.046296296,34,12.57618725,0.396777661,3.257586161,1.413445227,1.5,0.218425131,0.0945,0,5.983127663,5.576728395,0.605709877,50,0.72,0.02,0.01,0
2.050476816,0.046296296,-0.046296296,34,12.57618725,0.396777661,3.257586161,1.413445227,1.5,0.218425131,0.0945,0,5.983127663,5.576728395,0.605709877,100,0.72,0.02,0.01,0
2.050476816,0.046296296,-0.046296296,34,12.57618725,0.396777661,3.257586161,1.413445227,1.5,0.218425131,0.0945,0,5.983127663,5.576728395,0.605709877,150,0.72,0.02,0.01,0
1.412899428,0.166666667,-0.166666667,26,11.21049378,0.428404794,3.02146531,1.654700538,1,0.039774526,1.99502,0,5.154700538,10.06944444,0.092592593,200,0.72,0.02,0.01,0
1.412899428,0.166666667,-0.166666667,26,11.21049378,0.428404794,3.02146531,1.654700538,1,0.039774526,1.99502,0,5.154700538,10.06944444,0.092592593,50,0.72,0.02,0.01,0
1.412899428,0.166666667,-0.166666667,26,11.21049378,0.428404794,3.02146531,1.654700538,1,0.039774526,1.99502,0,5.154700538,10.06944444,0.092592593,100,0.72,0.02,0.01,0
1.412899428,0.166666667,-0.166666667,26,11.21049378,0.428404794,3.02146531,1.654700538,1,0.039774526,1.99502,0,5.154700538,10.06944444,0.092592593,150,0.72,0.02,0.01,0
0.927730943,0.833333333,-0.833333333,24,11.07583268,0.429882883,2.190609687,1.142228525,1.6,0.007737643,0.7452,2.385416667,5.154700538,10.06944444,0.092592593,200,0.6,0.1,0.1,0
1.904030206,0.210648148,-0.210648148,36,12.57618725,0.437850878,2.832085835,1.643712443,1.125,0.06813694,1.1789,0,5.698670613,2.375,1.1875,50,0.72,0.02,0.01,0
0.447213595,1,1,14,12.21632494,0.385284404,2.83125711,0.924594326,1.833333333,0.302112778,0.5694,0,5.698670613,2.375,1.1875,200,0.6,0.1,0.1,0
2.410683603,1.321759259,1.321759259,36,0,0.45880628,2.478438739,1.918847178,1.714285714,0.221873564,0.2386,1.811342593,3.577350269,9.444444444,0.166666667,200,0.6,0.1,0.1,1
2.410683603,1.321759259,1.321759259,36,0,0.45880628,2.478438739,1.918847178,1.714285714,0.221873564,0.2386,1.811342593,3.577350269,9.444444444,0.166666667,50,0.6,0.1,0.1,1
2.410683603,1.321759259,1.321759259,36,0,0.45880628,2.478438739,1.918847178,1.714285714,0.221873564,0.2386,1.811342593,3.577350269,9.444444444,0.166666667,100,0.6,0.1,0.1,1
2.410683603,1.321759259,1.321759259,36,0,0.45880628,2.478438739,1.918847178,1.714285714,0.221873564,0.2386,1.811342593,3.577350269,9.444444444,0.166666667,150,0.6,0.1,0.1,1
2.544725695,0.291666667,0.291666667,40,24.39951785,0.425686211,2.367351851,1.324023571,1.666666667,0.305409841,0.3234,1.540509259,3.577350269,9.444444444,0.166666667,200,0.6,0.1,0.1,0
2.544725695,0.291666667,0.291666667,40,24.39951785,0.425686211,2.367351851,1.324023571,1.666666667,0.305409841,0.3234,1.540509259,3.577350269,9.444444444,0.166666667,160,0.6,0.1,0.1,0
2.115355072,0.84375,0.84375,32,6.544756406,0.512414872,1.632993162,0.316227766,2,0.040220582,-0.0014,0,3.577350269,9.444444444,0.166666667,200,0.72,0.02,0.01,1
2.115355072,0.84375,0.84375,32,6.544756406,0.512414872,1.632993162,0.316227766,2,0.040220582,-0.0014,0,3.577350269,9.444444444,0.166666667,50,0.72,0.02,0.01,1
2.115355072,0.84375,0.84375,32,6.544756406,0.512414872,1.632993162,0.316227766,2,0.040220582,-0.0014,0,3.577350269,9.444444444,0.166666667,100,0.72,0.02,0.01,1
2.115355072,0.84375,0.84375,32,6.544756406,0.512414872,1.632993162,0.316227766,2,0.040220582,-0.0014,0,3.577350269,9.444444444,0.166666667,150,0.72,0.02,0.01,1
1.560025215,0.138888889,-0.560185185,32,22.92390314,0.435834997,2.992302883,1.619503691,0.857142857,0.004743854,1.3481,0,3.414213562,7.625,-0.125,200,0.72,0.02,0.01,0
1.560025215,0.138888889,-0.560185185,32,22.92390314,0.435834997,2.992302883,1.619503691,0.857142857,0.004743854,1.3481,0,3.414213562,7.625,-0.125,50,0.72,0.02,0.01,0
1.560025215,0.138888889,-0.560185185,32,22.92390314,0.435834997,2.992302883,1.619503691,0.857142857,0.004743854,1.3481,0,3.414213562,7.625,-0.125,100,0.72,0.02,0.01,0
1.560025215,0.138888889,-0.560185185,32,22.92390314,0.435834997,2.992302883,1.619503691,0.857142857,0.004743854,1.3481,0,3.414213562,7.625,-0.125,150,0.72,0.02,0.01,0
